Date,Price,Volume
2011-07-20,13.9389,493514.446652
2011-07-21,13.9389,291788.142676
2011-07-22,13.94,0.0
2011-07-23,13.979999,311925.416405
2011-07-24,14.7399,663203.102644
2011-07-25,14.16,0.0
2011-07-26,14.13,202130.40256
2011-07-27,14.0,340784.77762
2011-07-28,14.1,0.0
2011-07-29,13.8,86919.7340706
2011-07-30,14.8999,701179.911784
2011-07-31,14.06,0.0
2011-08-01,13.45,652208.510321
2011-08-02,13.1,1260186.17661
2011-08-03,13.37,0.0
2011-08-04,11.55,298068.842756
2011-08-05,11.0,808869.775709
2011-08-06,11.42,0.0
2011-08-07,8.89,619865.163027
2011-08-08,12.1,1306372.61659
2011-08-09,9.66,0.0
2011-08-10,10.4959,408626.963717
2011-08-11,9.89520343,678838.915917
2011-08-12,10.35,0.0
2011-08-13,11.24,555156.594903
2011-08-14,11.89,465471.570413
2011-08-15,11.4,0.0
2011-08-16,11.3,209621.648666
2011-08-17,11.67,227917.611733
2011-08-18,11.39,0.0
2011-08-19,11.798,154262.619437
2011-08-20,11.59,130225.823076
2011-08-21,11.75,0.0
2011-08-22,11.49,217915.12734
2011-08-23,11.4,118411.118076
2011-08-24,11.47,0.0
2011-08-25,10.3,608901.548589
2011-08-26,9.11,621389.927317
2011-08-27,10.01,0.0
2011-08-28,9.4811,210157.751242
2011-08-29,9.15031,159144.952534
2011-08-30,9.4,0.0
2011-08-31,8.4493399997,211483.553121
2011-09-01,8.4989,127135.555469
2011-09-02,8.46,0.0
2011-09-03,8.5939999988,109977.610582
2011-09-04,8.467,296955.360777
2011-09-05,8.56,0.0
2011-09-06,7.59916,413541.155139
2011-09-07,7.31509,182464.871723
2011-09-08,7.53,0.0
2011-09-09,6.2089200002,490142.687944
2011-09-10,7.4,773062.626443
2011-09-11,6.49,0.0
2011-09-12,6.25,304159.027263
2011-09-13,5.9900000009,242072.0653
2011-09-14,6.19,0.0
2011-09-15,5.23,442696.323381
2011-09-16,5.022,113053.955659
2011-09-17,5.18,0.0
2011-09-18,5.6,365598.114604
2011-09-19,6.795,913547.31744
2011-09-20,5.89,0.0
2011-09-21,5.83001,289696.58265
2011-09-22,5.70653,372082.414975
2011-09-23,5.8,0.0
2011-09-24,5.5,48793.0964135
2011-09-25,5.46014,322391.319462
2011-09-26,5.49,0.0
2011-09-27,4.989,154405.365876
2011-09-28,4.809,83638.1374449
2011-09-29,4.95,0.0
2011-09-30,5.3,163317.751128
2011-10-01,5.16,76098.0224391
2011-10-02,5.27,0.0
2011-10-03,5.03,87686.9738806
2011-10-04,5.025,115499.199398
2011-10-05,5.03,0.0
2011-10-06,4.85,360869.565005
2011-10-07,4.594,425654.802721
2011-10-08,4.79,0.0
2011-10-09,4.25937,93576.4323054
2011-10-10,4.14001,198806.08687
2011-10-11,4.23,0.0
2011-10-12,4.45,194858.359406
2011-10-13,4.11455,58437.5630056
2011-10-14,4.37,0.0
2011-10-15,3.9009000002,113985.411955
2011-10-16,3.75996,727239.475998
2011-10-17,3.87,0.0
2011-10-18,2.64999,256867.556222
2011-10-19,2.42,194787.108447
2011-10-20,2.59,0.0
2011-10-21,3.3,335137.998744
2011-10-22,3.36,230988.732967
2011-10-23,3.31,0.0
2011-10-24,3.04,459931.283818
2011-10-25,2.876,117365.370642
2011-10-26,3.0,0.0
2011-10-27,3.255,223321.462988
2011-10-28,3.82717,327611.709102
2011-10-29,3.39,0.0
2011-10-30,3.388,115362.062703
2011-10-31,3.35,167162.955163
2011-11-01,3.38,0.0
2011-11-02,3.299,97206.2258323
2011-11-03,3.21874,149101.048911
2011-11-04,3.28,0.0
2011-11-05,3.05,68710.572652
2011-11-06,3.0289,53845.9593368
2011-11-07,3.04,0.0
2011-11-08,3.114,195261.768901
2011-11-09,3.0,88246.8501078
2011-11-10,3.09,0.0
2011-11-11,3.11,149387.097607
2011-11-12,3.099,39810.3551853
2011-11-13,3.11,0.0
2011-11-14,2.69,333163.425185
2011-11-15,2.6,101963.934889
2011-11-16,2.67,0.0
2011-11-17,2.38998,99253.8001565
2011-11-18,2.3,348626.477469
2011-11-19,2.37,0.0
2011-11-20,2.29,110200.999205
2011-11-21,2.35,112267.632459
2011-11-22,2.3,0.0
2011-11-23,2.46,132862.116457
2011-11-24,2.56,207195.986195
2011-11-25,2.48,0.0
2011-11-26,2.4965,64291.6382679
2011-11-27,2.53899,128670.557007
2011-11-28,2.51,0.0
2011-11-29,2.959,302525.591897
2011-11-30,3.14,360947.275796
2011-12-01,3.0,0.0
2011-12-02,3.12999,279870.273191
2011-12-03,2.99,432545.74342
2011-12-04,3.1,0.0
2011-12-05,3.05,192633.827981
2011-12-06,3.082,197024.805601
2011-12-07,3.06,0.0
2011-12-08,3.039,135255.898761
2011-12-09,3.04,176107.962598
2011-12-10,3.04,0.0
2011-12-11,3.34237,189891.384333
2011-12-12,3.3,118072.734755
2011-12-13,3.33,0.0
2011-12-14,3.1933,74118.0456674
2011-12-15,3.23,182288.19456
2011-12-16,3.2,0.0
2011-12-17,3.25,53711.2842767
2011-12-18,3.70036,510063.277349
2011-12-19,3.36,0.0
2011-12-20,4.11,418278.253995
2011-12-21,3.99199,257009.433073
2011-12-22,4.08,0.0
2011-12-23,3.9499,72107.9587901
2011-12-24,4.3897,350822.337749
2011-12-25,4.06,0.0
2011-12-26,4.06,153015.192383
2011-12-27,4.18888,165417.159031
2011-12-28,4.09,0.0
2011-12-29,4.3,184602.216423
2011-12-30,4.995,648541.697417
2011-12-31,4.47,0.0
2012-01-01,5.4999,594783.344525
2012-01-02,5.29,557476.602318
2012-01-03,5.45,0.0
2012-01-04,6.399,1054656.81813
2012-01-05,7.22,1888020.11586
2012-01-06,6.6,0.0
2012-01-07,7.2,428239.435131
2012-01-08,7.2,935777.458691
2012-01-09,7.2,0.0
2012-01-10,7.138,841167.10546
2012-01-11,6.997,909030.295354
2012-01-12,7.1,0.0
2012-01-13,6.75,781797.291696
2012-01-14,6.98999,608385.040367
2012-01-15,6.81,0.0
2012-01-16,6.98,929941.520538
2012-01-17,6.95,2327006.60673
2012-01-18,6.97,0.0
2012-01-19,6.58,601985.154708
2012-01-20,6.55,446998.407757
2012-01-21,6.57,0.0
2012-01-22,6.45485,259120.972559
2012-01-23,6.515,211725.841247
2012-01-24,6.47,0.0
2012-01-25,6.2,996019.80095
2012-01-26,5.689,825301.832351
2012-01-27,6.08,0.0
2012-01-28,5.76,299939.361315
2012-01-29,5.6,281662.550121
2012-01-30,5.72,0.0
2012-01-31,5.638,281803.063454
2012-02-01,6.2,858000.309899
2012-02-02,5.77,0.0
2012-02-03,6.0,151418.289155
2012-02-04,5.9625,703127.204421
2012-02-05,5.99,0.0
2012-02-06,5.70999,499825.872085
2012-02-07,5.8494,1410604.19028
2012-02-08,5.74,0.0
2012-02-09,5.92525,501592.274771
2012-02-10,6.0,166725.347325
2012-02-11,5.94,0.0
2012-02-12,5.72,1150509.00459
2012-02-13,5.6,1595943.96728
2012-02-14,5.69,0.0
2012-02-15,4.73368,1022854.93167
2012-02-16,4.76998,689769.489315
2012-02-17,4.74,0.0
2012-02-18,4.33333,157343.745691
2012-02-19,4.52,279579.973522
2012-02-20,4.38,0.0
2012-02-21,4.54,382274.63639
2012-02-22,4.92481,681747.658978
2012-02-23,4.63,0.0
2012-02-24,5.07,338506.455315
2012-02-25,5.00073,390657.302719
2012-02-26,5.05,0.0
2012-02-27,5.0,269874.599328
2012-02-28,4.9,209114.020032
2012-02-29,4.98,0.0
2012-03-01,4.98888,673421.518843
2012-03-02,4.77995,197621.937436
2012-03-03,4.94,0.0
2012-03-04,5.04,387615.242624
2012-03-05,5.05,208535.282091
2012-03-06,5.04,0.0
2012-03-07,5.0,253573.622211
2012-03-08,4.9499,202271.818468
2012-03-09,4.99,0.0
